eventid,angle,carid,driverid,height,lat,lon,lurch,maxvectoracc,midvectoracc,origid,speed,tanage,xacc,yacc,zacc,eventdt,entrydt,iscan
10832338,282,10005,10005,-14,5956.3284,3021.6487,98,0.159999996423721,0.0599999986588955,4689164,25.16,0,0.0500000007450581,0.140000000596046,0.0399999991059303,2016-10-09 08:19:17+03,2016-10-24 14:57:42.861+03,True
10832339,279,10005,10005,-14,5956.3288,3021.6413,95,0.219999998807907,0.0500000007450581,4689165,24.42,0,-0.0799999982118607,0.200000002980232,0.0299999993294477,2016-10-09 08:19:18+03,2016-10-24 14:57:42.861+03,True
10832340,284,10005,10005,-14,5956.3295,3021.6346,85,0.170000001788139,0.0500000007450581,4689166,22.015,0,-0.0399999991059303,0.159999996423721,0.00999999977648258,2016-10-09 08:19:20+03,2016-10-24 14:57:42.861+03,True
10832341,300,10005,10005,-14,5956.3308,3021.6297,92,0.140000000596046,0.0399999991059303,4689167,18.315,5,-0.129999995231628,0.0399999991059303,-0.00999999977648258,2016-10-09 08:19:21+03,2016-10-24 14:57:42.861+03,True
10832342,322,10005,10005,-14,5956.3327,3021.626,97,0.159999996423721,0.0399999991059303,4689168,18.13,5,0.0199999995529652,-0.159999996423721,0.0199999995529652,2016-10-09 08:19:22+03,2016-10-24 14:57:42.861+03,True
10832343,334,10005,10005,-14,5956.3349,3021.6233,97,0.150000005960464,0.0399999991059303,4689169,18.685,3,0.0599999986588955,-0.100000001490116,0.0900000035762787,2016-10-09 08:19:23+03,2016-10-24 14:57:42.861+03,True
10832344,339,10005,10005,-14,5956.3398,3021.6191,97,0.150000005960464,0.0599999986588955,4689170,18.685,2,0.00999999977648258,-0.150000005960464,-0.00999999977648258,2016-10-09 08:19:24+03,2016-10-24 14:57:42.861+03,True
10832345,342,10005,10005,-14,5956.3478,3021.6137,97,0.109999999403954,0.0399999991059303,4689171,19.24,1,0.0500000007450581,-0.100000001490116,-0.0199999995529652,2016-10-09 08:19:27+03,2016-10-24 14:57:42.861+03,True
10832346,343,10005,10005,-14,5956.3506,3021.6121,95,0.109999999403954,0.0500000007450581,4689172,19.61,0,0.00999999977648258,-0.100000001490116,0,2016-10-09 08:19:28+03,2016-10-24 14:57:42.861+03,True
10832347,344,10005,10005,-14,5956.3532,3021.6108,95,0.100000001490116,0.0299999993294477,4689173,19.24,0,0.0399999991059303,-0.100000001490116,0,2016-10-09 08:19:30+03,2016-10-24 14:57:42.861+03,True
